"Rank","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev"
"130","","O.J. Howard","TB","TE15","5","105","191","136.6","26.5"
"131","","George Kittle","SF","TE16","11","92","204","136.9","24.2"
"132","","Eric Ebron","IND","TE17","9","87","197","137.3","26.2"
"133","","Dede Westbrook","JAC","WR53","9","49","221","136.3","40.9"
"134","","Nick Chubb","CLE","RB45","11","58","158","122.9","26.4"
"135","","Alex Smith","WAS","QB20","4","67","189","140.5","32.6"
"136","","Chris Carson","SEA","RB46","7","74","263","142.3","52.3"
"137","","Jacksonville Jaguars","","DST1","9","115","215","137.6","19.5"
"138","","Ted Ginn","NO","WR54","6","92","177","140.3","23.0"
"139","","Charles Clay","BUF","TE18","11","82","207","146.7","26.5"
"140","","Cameron Brate","TB","TE19","5","92","185","146.0","20.4"
"141","","Derek Carr","OAK","QB21","7","116","211","149.7","26.4"
"142","","Samaje Perine","WAS","RB47","4","64","200","117.6","36.3"
"143","","Devontae Booker","DEN","RB48","10","82","232","153.5","42.0"
"144","","Minnesota Vikings","","DST2","10","119","216","146.8","19.9"
"145","","Corey Coleman","CLE","WR55","11","95","250","152.6","41.8"
"146","","Ty Montgomery","GB","RB49","7","110","211","148.5","31.0"
"147","","Mike Wallace","PHI","WR56","9","108","185","151.1","17.8"
"148","","Kenny Stills","MIA","WR57","11","94","240","155.9","44.7"
"149","","Giovani Bernard","CIN","RB50","9","116","228","154.7","22.7"
"150","","Wayne Gallman","NYG","RB51","9","101","264","156.3","51.4"
"151","","Philadelphia Eagles","","DST3","9","130","219","154.4","19.6"
"152","","Donte Moncrief","JAC","WR58","9","104","205","154.9","26.7"
"153","","Jared Cook","OAK","TE20","7","123","185","159.8","15.9"
"154","","Blake Bortles","JAC","QB22","9","100","221","161.5","32.8"
"155","","DeMarco Murray","FA","RB52","","74","236","142.2","40.2"
"156","","Mike Williams","LAC","WR59","8","97","214","156.2","30.8"
"157","","Tyler Lockett","SEA","WR60","7","102","223","160.9","34.6"
"158","","Los Angeles Rams","","DST4","12","133","228","160.2","24.0"
"159","","Allen Hurns","DAL","WR61","8","97","228","162.4","42.1"
"160","","Kenny Golladay","DET","WR62","6","113","218","155.7","29.8"
"161","","Frank Gore","MIA","RB53","11","120","194","154.0","23.2"
"162","","Kerryon Johnson","DET","RB54","6","87","235","141.4","42.0"
